,AssetNumber,AssetIdentifier
2173348,88779822862,"AP-7-A-BRUNETTE AVE ONRAMP, AP-7-A-BRUNETTE AVE OFFRAMP • NB • KLTP • 1173"
2235230,75823833640,"AP 4-B-65-A, AP 4-B-65-A-1, AP 4-B-65-A-2 • NB • Ledcor Sicim LP • 691.1"
2235232,88799434504,"AP 4-B-65-A, AP 4-B-65-A-1, AP 4-B-65-A-2 • SB • Ledcor Sicim LP • 691.1"
2250914,20254556742,AP 4-A-51-E • SB • Ledcor Sicim LP • 681.6
2250916,38283143270,AP 4-A-51-E • NB • Ledcor Sicim LP • 681.6
2266130,10004407918,AP 4-A-20-A • NB • Ledcor Sicim LP • 638.6
2266142,45403214061,AP 4-A-20-A • SB • Ledcor Sicim LP • 638.6
2266184,19866794678,AP 3-B-22-B • SB • Ledcor Sicim LP • 521.6
2266243,86411712234,AP 3-B-22-B • NB • Ledcor Sicim LP • 521.6
2267707,83930950460,AP 4-B-98-A • NB • Ledcor Sicim LP • 712.9
2267710,44096463376,AP 4-B-98-A • SB • Ledcor Sicim LP • 712.9
2281810,89611917714,MRPP-AP 27B • SB • Ledcor Sicim LP • 448.1
2281826,11042076244,MRPP-AP 27B • NB • Ledcor Sicim LP • 448.1
2295474,27878205668,AP 4-A-Hwy 5-16 • SB • Ledcor Sicim LP • 628.4
2295476,63489702860,AP 4-A-Hwy 5-16 • NB • Ledcor Sicim LP • 628.4
2295517,86710465442,AP 3-B-22.1-A • SB • Ledcor Sicim LP • 521.3
2295528,12768050215,AP 3-B-13-A-1 • NB • Ledcor Sicim LP • 513.2
2295530,65827538011,AP 3-B-22.1-A • NB • Ledcor Sicim LP • 521.3
2295584,56678162306,AP 3-B-13-A-1 • SB • Ledcor Sicim LP • 513.2
2295638,75920298452,AP 4-B-133-A • SB • Ledcor Sicim LP • 752.7
2295642,54084450653,AP 4-B-133-A • NB • Ledcor Sicim LP • 752.7
2333304,17682621065,"AP 3-C-75-A, AP 3-C-76-B • SB • Ledcor Sicim LP • 601.2"
2333306,33662803842,"AP 3-C-75-A, AP 3-C-76-B • NB • Ledcor Sicim LP • 601.2"
2376931,98684633410,AP 4-A-23-A • NB • Ledcor Sicim LP • 642.6
2376977,65372572275,AP 4-A-23-A • SB • Ledcor Sicim LP • 642.6
2382926,15381206794,AP 6-A-65-A • NB • Macro Spiecapag JV • 1072.4
2382960,21205040197,AP 6-A-65-A • SB • Macro Spiecapag JV • 1072.4
2388332,19816868247,AP 4-A-48-A • SB • Ledcor Sicim LP • 678.5
2388339,35525331341,AP 4-A-48-A • NB • Ledcor Sicim LP • 678.5
2388385,72495793531,MRPP-AP 37 • NB • Ledcor Sicim LP • 462.6
2388388,44374480886,MRPP-AP 37 • SB • Ledcor Sicim LP • 462.6
2388522,43957488191,AP 4-B-72-A • NB • Ledcor Sicim LP • 697.8
2388526,66330978137,AP 4-B-72-A • SB • Ledcor Sicim LP • 697.8
2443683,70209232118,"AP 4-A-59-A, AP 4-A-59-B • SB • Ledcor Sicim LP • 688.1"
2443720,95419284783,"AP 4-A-59-A, AP 4-A-59-B • NB • Ledcor Sicim LP • 688.1"
2471742,21233905712,AP 4-A-52-A • SB • Ledcor Sicim LP • 681.9
2471746,61952421334,AP 4-A-52-A • NB • Ledcor Sicim LP • 681.9
2471779,60635015197,"AP 4-A-37-A, AP 4-A-38-A • NB • Ledcor Sicim LP • 662.8"
2471780,53283542601,AP 4-A-45-A • NB • Ledcor Sicim LP • 673.7
2471781,61682008977,"AP 4-A-37-A, AP 4-A-38-A • SB • Ledcor Sicim LP • 662.8"
2471784,51982457329,AP 4-A-45.1-A • SB • Ledcor Sicim LP • 674.3
2471789,52453685172,AP 4-A-45-A • SB • Ledcor Sicim LP • 673.7
2471790,68919285474,AP 4-A-45.1-A • NB • Ledcor Sicim LP • 674.3
2500777,24855910153,AP 4-A-35-A • NB • Ledcor Sicim LP • 659.7
2500778,81303692544,AP 4-A-46-A • NB • Ledcor Sicim LP • 675.9
2500780,74428256782,AP 6-A-46-A • NB • Macro Spiecapag JV • 1054.3
2500786,62153236820,AP 4-A-35-A • SB • Ledcor Sicim LP • 659.7
2500818,79485836818,AP 3-C-65-A • NB • Ledcor Sicim LP • 580.2
2500832,98623808284,AP 3-C-65-A • SB • Ledcor Sicim LP • 580.2
2513674,32553085010,MRPP-AP 5 • SB • Ledcor Sicim LP • 413.1
2513682,13379686298,MRPP-AP 5 • NB • Ledcor Sicim LP • 413.1
2514480,53174781160,AP 4-A-Hwy 5-26 • SB • Ledcor Sicim LP • 675.2
2514495,71869458020,AP 4-A-46-A • SB • Ledcor Sicim LP • 675.9
2514528,85006271511,AP 4-A-Hwy 5-26 • NB • Ledcor Sicim LP • 675.2
2514673,82653824566,AP-5-B-63.1-882.6 • N/A • Surerus Murphy JV • 879.8
2514681,38113290200,AP 5-B-48-B • N/A • Surerus Murphy JV • 886.2
2548270,79946944728,AP 4-A-Hwy 5-18 • SB • Ledcor Sicim LP • 638.2
2548329,99994344960,AP 4-A-Hwy 5-18 • NB • Ledcor Sicim LP • 638.2
2554691,86704972236,AP 6-A-66-A • NB • Macro Spiecapag JV • 1073.6
2554695,47221150421,AP 6-A-66-A • SB • Macro Spiecapag JV • 1073.6
2571295,49588776280,"AP 3-C-58-A, AP 3-C-58.1-A • SB • Ledcor Sicim LP • 563.1"
2571299,91388951517,"AP 3-C-58-A, AP 3-C-58.1-A • NB • Ledcor Sicim LP • 563.1"
2583525,84240753195,AP-3-C-80-A • NB • Ledcor Sicim LP • 607.8
2583536,43109594876,AP-3-C-80-A • SB • Ledcor Sicim LP • 607.8
2597270,90357908877,AP 4-A-Hwy 5-25 • NB • Ledcor Sicim LP • 664.8
2597290,62587571380,AP 4-A-Hwy 5-25 • SB • Ledcor Sicim LP • 664.8
2619693,67983640838,AP 4-A-57-A • NB • Ledcor Sicim LP • 684.6
2619694,87801638893,AP 4-A-57-A • SB • Ledcor Sicim LP • 684.6
2672016,53324509321,AP 4-A-54-A • NB • Ledcor Sicim LP • 682.8
2672019,22196485007,AP 4-A-54-A • SB • Ledcor Sicim LP • 682.8
2672117,77197634355,AP 4-A-Hwy5-13 • NB • Ledcor Sicim LP • 625.9
2672120,29768988941,AP 4-A-Hwy5-13 • SB • Ledcor Sicim LP • 625.9
2673445,49535598971,AP 4-B-120-B-4 • N/A • Ledcor Sicim LP • 748.3
2688437,32832948592,"AP 4-B-115-B-3, AP 4-B-115-B-4 • N/A • Ledcor Sicim LP • 727"
2789216,92025613197,AP 4-B-140-A • SB • Ledcor Sicim LP • 758
2789218,36964820488,AP 4-B-140-A • NB • Ledcor Sicim LP • 758
3365845,75187250624,AP-3-B-82-1 • NB • Ledcor Sicim LP
