ValidTasksIndex,AllTasksIndex,AssetNumber,AssetIdentifier,CreatedDate,UnderConstructionTime,BaselineTime,DelayTime,State,SegmentLength,CalculatedDelayTime,CalculatedState
1902157,6907054,98626596943,"AP 3-B-17-A, AP 3-B-Hwy 5-3, AP 3-B-Hwy 5-4 • SB • Ledcor Sicim LP • 517.5",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902158,6907055,49837909751,AP 3-B-13-A-3 • SB • Ledcor Sicim LP • 517.5,3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902159,6907056,77116901831,"AP 3-B-20-A-1, AP 3-B-23 • N/A • Ledcor Sicim LP • 518.8",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902160,6907057,98643424243,"AP 3-B-22-A-1, AP 3-B-23-A • N/A • Ledcor Sicim LP • 519.5",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902161,6907058,19866794678,AP 3-B-22-B • SB • Ledcor Sicim LP • 521.6,3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902162,6907059,65827538011,AP 3-B-22.1-A • NB • Ledcor Sicim LP • 521.3,3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902163,6907060,96372842175,"AP 3-B-23.1-A, AP 3-B-23.1-D • SB • Ledcor Sicim LP • 523.2",3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902164,6907061,29549024075,"AP 3-B-33-A, AP 3-C-34-A • SB • Ledcor Sicim LP • 525.9",3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902165,6907062,52288717369,"AP 3-C-35-C-1, AP 3-C-35-C-2 • N/A • Ledcor Sicim LP • 527.4",3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902166,6907063,64076632864,AP 3-C-37-A • SB • Ledcor Sicim LP • 531,3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902167,6907064,52875362848,"AP 3-C-39-A, AP 3-C-40-B • SB • Ledcor Sicim LP • 535",3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902168,6907065,69397841741,AP 3-C-38-A • NB • Ledcor Sicim LP • 532.3,3/2/2021 5:31:40 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902169,6907066,33388067973,"AP 3-C-43-A, AP 3-C-44-A, AP 3-C-45-B, AP 3-C-46-A • SB • Ledcor Sicim LP • 539.8",3/2/2021 5:31:40 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902170,6907067,36181764255,AP 3-C-45-A • SB • Ledcor Sicim LP • 541,3/2/2021 5:31:40 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902171,6907068,30623181508,"AP 3-C-50-B, AP 3-C-52-A • SB • Ledcor Sicim LP • 549",3/2/2021 5:31:40 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902172,6907069,50744787359,"AP 3-C-49.1-A, AP 3-C-49.1-B • NB • Ledcor Sicim LP • 548.2",3/2/2021 5:31:41 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902173,6907070,75785193191,AP 3-C-51-A • SB • Ledcor Sicim LP • 551.7,3/2/2021 5:31:41 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902174,6907071,84204357923,AP 3-C-52-E • NB • Ledcor Sicim LP • 554.6,3/2/2021 5:31:41 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902175,6907072,61325418624,"AP 3-C-56-A, AP 3-C-57-A, AP 3-C-Hwy 5-4 • SB • Ledcor Sicim LP • 559.6",3/2/2021 5:31:41 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902176,6907073,49588776280,"AP 3-C-58-A, AP 3-C-58.1-A • SB • Ledcor Sicim LP • 563.1",3/2/2021 5:31:41 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902177,6907074,53330524217,AP 3-C-59-A • SB • Ledcor Sicim LP • 563.2,3/2/2021 5:31:42 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
